"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
67558,3/31/2024 0:00:00,24209,0,7257941,835019,0,1,0,255800,0,0,0,0,0,0,0,0,0,0,0,0,117755,163753,7382961,9115279,230551,17010299,0,0,0,0,0,0,0,-2791446,0,90000,0,0,0,90000,0,0,0,0,0,155369200,0,0,0,0,0,0,0,0,01/01/2023,358251,167217621,0,0,0,0,0,0,0,0,0,0,0,47769,0,0,0,0,0,0,0,0,0,0
67561,3/31/2024 0:00:00,22633,0,0,30851,0,1,0,163370,0,0,0,0,0,0,0,0,0,0,0,0,488188,444664,0,951092,0,1883944,0,0,0,0,0,0,0,-271090,0,41910,0,0,0,41910,0,0,0,0,0,22541263,0,0,0,0,0,0,0,0,Fiscal Year 2022,57664,28447029,0,0,0,0,0,0,0,0,0,0,0,15260,0,0,0,0,0,0,0,0,0,0
67563,3/31/2024 0:00:00,21758,0,0,0,0,1,0,52829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461286,0,0,0,0,0,0,0,0,04/01/2023,0,677984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67564,3/31/2024 0:00:00,21809,0,0,313840,0,1,0,84241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53588,0,0,0,53588,0,0,0,0,0,13704908,0,0,0,0,0,0,0,0,01/01/2023,200000,16591404,0,0,0,0,0,0,0,0,0,0,0,9252,0,0,0,0,0,0,0,0,0,0
67573,3/31/2024 0:00:00,22684,0,10312,363324,0,1,0,114118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,2226000,3641725,0,6367725,0,0,0,0,0,0,0,0,0,0,0,0,0,20922463,0,0,0,0,0,0,0,0,03/01/2023,0,22577292,0,0,0,0,0,0,0,0,0,0,0,3053,0,0,0,0,0,0,0,0,0,0
67574,3/31/2024 0:00:00,22951,0,0,602893,-288622,1,0,68400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28194489,0,0,0,0,0,0,0,0,01/01/2023,40455,32469917,0,0,0,0,0,0,0,0,0,0,0,10028,0,0,0,0,0,0,0,0,0,0
67576,3/31/2024 0:00:00,22718,0,15080685,763770,130967,1,0,860794,0,0,0,0,0,0,0,0,0,0,0,0,2813390,787650,255064,10090881,0,13946985,0,0,0,0,0,0,0,-2160217,0,70000,0,0,0,70000,0,0,0,0,0,114506037,0,0,0,0,0,0,0,0,01/01/2023,1130840,122092690,0,0,0,0,0,0,0,0,0,0,0,70410,0,0,0,0,0,0,0,0,0,0
67578,3/31/2024 0:00:00,22991,0,0,57106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4434963,0,0,0,0,0,0,0,0,,0,5630928,0,0,0,0,0,0,0,0,0,0,0,7656,0,0,0,0,0,0,0,0,0,0
67579,3/31/2024 0:00:00,22814,0,0,162199,0,1,0,64368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20100,0,0,0,20100,0,0,0,0,0,7487275,0,0,0,0,0,0,0,0,Fiscal Year 2022,0,10191600,0,0,0,0,0,0,0,0,0,0,0,8273,0,0,0,0,0,0,0,0,0,0
67581,3/31/2024 0:00:00,22780,0,0,184869,0,1,0,446828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18261,0,0,0,18261,0,0,0,0,0,35467076,0,0,0,0,0,0,0,0,01/01/2023,259077,41039772,0,0,0,0,0,0,0,0,0,0,0,13590,0,0,0,0,0,0,0,0,0,0
