"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
7244,6/30/2024 0:00:00,3308,"UNITED BUSINESS & INDUSTRY",776,"UBI"
7345,6/30/2024 0:00:00,3367,"CARIBE",129,"Servicio con Calor Humano"
7345,6/30/2024 0:00:00,3367,"CARIBE",130,"I Save"
7345,6/30/2024 0:00:00,3367,"CARIBE",131,"CFCU"
7345,6/30/2024 0:00:00,3367,"CARIBE",132,"Carikid"
7345,6/30/2024 0:00:00,3367,"CARIBE",133,"Caribe Online"
7345,6/30/2024 0:00:00,3367,"CARIBE",134,"Caribe Mobile"
7345,6/30/2024 0:00:00,3367,"CARIBE",135,"Caribe Federal"
7345,6/30/2024 0:00:00,3367,"CARIBE",1077,"Caribe Mortgage"
7345,6/30/2024 0:00:00,3367,"CARIBE",1078,"Caribe Business"
7423,6/30/2024 0:00:00,3413,"SCHOFIELD",903,"DCUC"
7423,6/30/2024 0:00:00,3413,"SCHOFIELD",904,"ACU"
7531,6/30/2024 0:00:00,3462,"HUGHES",125,"Hughes Federal Credit Union"
7531,6/30/2024 0:00:00,3462,"HUGHES",126,"Hughes FCU"
7531,6/30/2024 0:00:00,3462,"HUGHES",127,"HFCU Financial Services"
7576,6/30/2024 0:00:00,3492,"CREIGHTON",1064,"Creighton Federal Credit Union"
7610,6/30/2024 0:00:00,3513,"SUNFLOWER COMMUNITY",719,"Sunflower Community Credit Union"
7840,6/30/2024 0:00:00,3650,"TRULIANT",750,"Truliant Mortgage Services"
7840,6/30/2024 0:00:00,3650,"TRULIANT",751,"Truliant Insurance Services"
7840,6/30/2024 0:00:00,3650,"TRULIANT",752,"Truliant Financial Advisors"
7840,6/30/2024 0:00:00,3650,"TRULIANT",753,"Truliant Federal Credit Union"
7840,6/30/2024 0:00:00,3650,"TRULIANT",755,"Truliant Credit Union"
7840,6/30/2024 0:00:00,3650,"TRULIANT",756,"Truliant Business Services"
7840,6/30/2024 0:00:00,3650,"TRULIANT",757,"Truliant at Work"
7840,6/30/2024 0:00:00,3650,"TRULIANT",758,"Truliant Academy"
7840,6/30/2024 0:00:00,3650,"TRULIANT",759,"Truliant"
7840,6/30/2024 0:00:00,3650,"TRULIANT",760,"Truliances"
7840,6/30/2024 0:00:00,3650,"TRULIANT",809,"Truliant Operations Center"
7840,6/30/2024 0:00:00,3650,"TRULIANT",1001,"Truliant Foundation"
7840,6/30/2024 0:00:00,3650,"TRULIANT",1139,"Truliant Federal Credit Union Foundation"
7916,6/30/2024 0:00:00,3691,"NECHES",1103,"Neches Federal Credit Union"
8111,6/30/2024 0:00:00,3795,"RANDOLPH-BROOKS",315,"RBFCU"
8187,6/30/2024 0:00:00,3832,"AMERICAN UNITED",382,"American United FCU"
8187,6/30/2024 0:00:00,3832,"AMERICAN UNITED",383,"American United Credit Union"
8475,6/30/2024 0:00:00,3974,"OTERO",142,"Otero FCU"
8475,6/30/2024 0:00:00,3974,"OTERO",143,"OFCU"
8523,6/30/2024 0:00:00,4001,"CACL",897,"CACL FINANCIAL"
8549,6/30/2024 0:00:00,4016,"CECIL COUNTY SCHOOL EMPLOYEES",874,"Cecil County Credit Union"
8609,6/30/2024 0:00:00,4041,"EDU",646,"edU Federal Credit Union"
8715,6/30/2024 0:00:00,4102,"1ST COMMUNITY",371,"1st Community Credit Union"
8725,6/30/2024 0:00:00,4107,"COLORAMO",359,"Coloramo Federal Credit Union"
8797,6/30/2024 0:00:00,4131,"WRIGHT PATMAN CONGRESSIONAL",293,"CONGRESSIONAL FEDERAL"
8797,6/30/2024 0:00:00,4131,"WRIGHT PATMAN CONGRESSIONAL",294,"CONGRESSIONAL FCU"
9075,6/30/2024 0:00:00,4278,"HOBOKEN N J POLICE",603,"HOBOKEN NJ POLICE FCU"
9095,6/30/2024 0:00:00,4290,"HANSCOM",1147,"WealthTrek"
9164,6/30/2024 0:00:00,4332,"CARTER",803,"Carter Credit Union"
9229,6/30/2024 0:00:00,4365,"NEIGHBORS",1089,"Neighbors Federal Credit Union"
9229,6/30/2024 0:00:00,4365,"NEIGHBORS",1090,"Neighbors FCU"
9230,6/30/2024 0:00:00,4366,"CERTIFIED",331,"Vons Credit Union"
9230,6/30/2024 0:00:00,4366,"CERTIFIED",424,"Certified Federal"
9292,6/30/2024 0:00:00,4404,"CONSOLIDATED",30,"Consolidated Community Credit Un"
9292,6/30/2024 0:00:00,4404,"CONSOLIDATED",880,"CCCU - Cascade"
9292,6/30/2024 0:00:00,4404,"CONSOLIDATED",881,"CCCU"
9532,6/30/2024 0:00:00,4556,"WESTCHESTER SCHOOLS'",949,"A/K/A Port Chester Teachers Federal Credit Union"
9622,6/30/2024 0:00:00,4610,"FORGE",614,"Forge Credit Union"
9759,6/30/2024 0:00:00,4683,"FORTERA",1092,"Fortera Federal Credit Union"
9971,6/30/2024 0:00:00,4802,"SANTA FE",1028,"Borger Federal Credit Union"
10375,6/30/2024 0:00:00,5047,"1ST LIBERTY",238,"1st Liberty Federal Credit Union"
10465,6/30/2024 0:00:00,5101,"UNIVERSITY OF HAWAII",54,"UHFCU Investment Services"
10600,6/30/2024 0:00:00,5172,"AIR ACADEMY",1035,"Air Academy Credit Union"
10803,6/30/2024 0:00:00,5285,"ISRAEL MEMORIAL A M E",647,"Israel Memorial AME FCU"
10880,6/30/2024 0:00:00,5324,"PINELLAS",231,"PFCU"
10898,6/30/2024 0:00:00,5333,"MIDCOAST",408,"Midcoast Federal Credit Union"
10898,6/30/2024 0:00:00,5333,"MIDCOAST",409,"Midcoast FCU"
10958,6/30/2024 0:00:00,5364,"FIRST EAGLE",196,"First Eagle FCU"
11154,6/30/2024 0:00:00,5468,"BLUE COAST",1013,"Buckeye Community Federal Credit Union"
11154,6/30/2024 0:00:00,5468,"BLUE COAST",1014,"Tallahassee Community Federal Credit Union"
11157,6/30/2024 0:00:00,5470,"UTICA DISTRICT TELEPHONE EMPLOYEES",101,"UTELFCU"
11300,6/30/2024 0:00:00,5551,"CLEARWATER",731,"Clearwater Credit Union"
11316,6/30/2024 0:00:00,5562,"SANDIA AREA",124,"Sandia Area"
11364,6/30/2024 0:00:00,5593,"THE FAMILY FIRST",642,"Family First FCU"
11364,6/30/2024 0:00:00,5593,"THE FAMILY FIRST",1034,"Family First Federal Credit Union"
11452,6/30/2024 0:00:00,5642,"CY-FAIR",1016,"PVFCU-a division of Cyfair Federal Credit Union"
11944,6/30/2024 0:00:00,5923,"KAIPERM",1110,"Kaiperm Credit Union"
12029,6/30/2024 0:00:00,5974,"UNITED CATHOLICS",167,"UCFCU"
12067,6/30/2024 0:00:00,5997,"BAY",136,"Bay Federal Credit Union"
12084,6/30/2024 0:00:00,6007,"MID OREGON",214,"Mid Oregon Credit Union"
12153,6/30/2024 0:00:00,6046,"AFENA",504,"Afena FCU"
12199,6/30/2024 0:00:00,6071,"KIRTLAND",153,"Your Wingman"
12219,6/30/2024 0:00:00,6082,"USSCO JOHNSTOWN",696,"USSCO FCU"
12319,6/30/2024 0:00:00,6148,"OMAHA POLICE",862,"Police Federal CU *Omaha"
12334,6/30/2024 0:00:00,6157,"NESC",612,"NESC Credit Union"
12425,6/30/2024 0:00:00,6204,"FOOTHILL",695,"Foothill Credit Union"
12458,6/30/2024 0:00:00,6225,"VELOCITY COMMUNITY",1119,"Velocity Community Credit Union"
12805,6/30/2024 0:00:00,6421,"MOCSE",309,"Mocse Credit Union"
12808,6/30/2024 0:00:00,6423,"SUCCESS",720,"Success Credit Union"
12814,6/30/2024 0:00:00,6428,"SEA WEST COAST GUARD",740,"SeaWest Federal Credit Union"
